,Tweet,Textlabel,sentiment,Category
0,.one worst thing ever said yeah bet dying get hospital dumbass,negative,-1.0,bullying
1,punish muslim day tomorrow uk even though im disgusted need take precaution 'please,negative,-1.0,bullying
2,man one pathetic loser -i lloyd christmas bro ..new mood..,negative,-1.0,bullying
3,come toronto 'll show around wander around aimlessly like pathetic loser,negative,-1.0,bullying
4,.such pathetic loser..,negative,-1.0,bullying
5,pathetic 'how dare say deploy national guard 'your immediate resignation,negative,-1.0,bullying
6,hysterical every time call libtard libtard cl,negative,-1.0,bullying
7,dumbass pathetic pig need rot,negative,-1.0,bullying
8,nobody care sharon pathetic loser..,negative,-1.0,bullying
9,pathetic loser 'russia russia russia 'with proof 'what buffoon,negative,-1.0,bullying
10,oh look another pathetic liberal puke laylah 'your profile,negative,-1.0,bullying
11,pathetic loser 'to think admired sucka** one point..,negative,-1.0,bullying
12,pathetic loser send money paypig findom fendom cashslave,negative,-1.0,bullying
13,broke pathetic liberal tell time 'if cared loser h,negative,-1.0,bullying
14,pathetic slave life 'thats tribute dont need money dont go findom fi,negative,-1.0,bullying
15,realdonaldtrump mr donald trump worst person exists usa person look like hitler,negative,-1.0,bullying
16,call pimp loser cuck sissyslut fag cunt homewrecker pathetic hand fucker tinywinne,negative,-1.0,bullying
17,naw would disgustingly fat as would pimped every wannabe thug rapper unt,negative,-1.0,bullying
18,kamalaharris guess nasty libtard like rest snowflakes..,negative,-1.0,bullying
19,.one worst thing ever said yeah bet dying get hospital dumbass,negative,-1.0,bullying
20,punish muslim day tomorrow uk even though im disgusted need take precaution 'please,negative,-1.0,bullying
21,man one pathetic loser -i lloyd christmas bro ..new mood..,negative,-1.0,bullying
22,come toronto 'll show around wander around aimlessly like pathetic loser,negative,-1.0,bullying
23,.such pathetic loser..,negative,-1.0,bullying
24,hysterical every time call libtard libtard cl,negative,-1.0,bullying
25,dumbass pathetic pig need rot,negative,-1.0,bullying
26,..realdonaldtrump literally definition retard,negative,-0.9,bullying
27,message retard so-called invester going surpasses 20,negative,-0.9,bullying
28,f ing retard. never said that. get,negative,-0.9,bullying
29,ingrahamangle foxnews fucking retard '.davidhogg111,negative,-0.9,bullying
30,solicit yours. retard think perhaps are..,negative,-0.9,bullying
31,retard never going fight mma,negative,-0.9,bullying
32,man hundered hundereds hmmm retard,negative,-0.9,bullying
33,automation retard job lost kid grandkids shou,negative,-0.9,bullying
34,retard dont think so..,negative,-0.9,bullying
35,loganpaul retard,negative,-0.9,bullying
36,wake retard lost team online tourney remember one lost,negative,-0.9,bullying
37,retard,negative,-0.9,bullying
38,..realdonaldtrump literally definition retard,negative,-0.9,bullying
39,message retard so-called invester going surpasses 20,negative,-0.9,bullying
40,.bro went hike seen rattle snake dumbass jump im literally idiot,negative,-0.8,bullying
41,listen kid know u want stop getting violently murdered assault rifle need grow realize,negative,-0.8,bullying
42,inspiration 'still work challenge hate prejudice form afightforallofus,negative,-0.8,bullying
43,offset hate woman feel like need man 'he kinda invented feminism think it..,negative,-0.8,bullying
44,neo-nazi website stormfront close shutting founder wife tire paying hate site bill,negative,-0.8,bullying
45,hate beg life as mf 'like bitch know effort 'trying amp begging comple,negative,-0.8,bullying
46,.i hate ppl buy totw version card get power 'like foreal ky,negative,-0.8,bullying
47,.it feel like day job get idiot mate 'check everything happened,negative,-0.8,bullying
48,idiot think ram already h,negative,-0.8,bullying
49,connor got ditched lt 14:05:28 connor friiends lt 14:05:32 gt connor rank gone lt 14:05:56 gt c,negative,-0.8,bullying
50,earl k sneedy hit woman also beating woman idiot fag,negative,-0.8,bullying
51,..dloesch arent majority dumbass 'read paper idiot..,negative,-0.8,bullying
